0,000	0,772	1,000
0,049	0,388	0,999
0,098	-0,439	0,995
0,147	-0,089	0,989
0,195	0,403	0,981
0,243	-0,670	0,970
0,290	0,660	0,957
0,337	0,399	0,942
0,383	0,946	0,924
0,428	0,231	0,904
0,471	-0,673	0,882
0,514	-0,052	0,858
0,556	-0,710	0,831
0,596	-0,129	0,803
0,634	-0,610	0,773
0,672	-0,419	0,741
0,707	0,236	0,707
0,741	-0,958	0,672
0,773	0,117	0,634
0,803	0,989	0,596
0,831	-0,178	0,556
0,858	0,434	0,514
0,882	-0,743	0,471
0,904	-0,721	0,428
0,924	0,352	0,383
0,942	-0,541	0,337
0,957	0,693	0,290
0,970	-0,742	0,243
0,981	0,579	0,195
0,989	0,590	0,147
0,995	0,313	0,098
0,999	-0,946	0,049
1,000	0,425	0,000
0,999	0,393	-0,049
0,995	0,525	-0,098
0,989	0,908	-0,147
0,981	-0,347	-0,195
0,970	0,025	-0,243
0,957	0,897	-0,290
0,942	0,255	-0,337
0,924	-0,857	-0,383
0,904	0,570	-0,428
0,882	0,517	-0,471
0,858	0,498	-0,514
0,831	-0,746	-0,556
0,803	0,577	-0,596
0,773	0,309	-0,634
0,741	-0,161	-0,672
0,707	-0,330	-0,707
0,672	-0,765	-0,741
0,634	0,885	-0,773
0,596	-0,130	-0,803
0,556	0,331	-0,831
0,514	0,904	-0,858
0,471	0,265	-0,882
0,428	0,269	-0,904
0,383	-0,231	-0,924
0,337	0,497	-0,942
0,290	0,206	-0,957
0,243	0,720	-0,970
0,195	-0,678	-0,981
0,147	-0,403	-0,989
0,098	-0,191	-0,995
0,049	-0,402	-0,999
0,000	-0,428	-1,000
-0,049	0,338	-0,999
-0,098	-0,513	-0,995
-0,147	-0,933	-0,989
-0,195	-0,178	-0,981
-0,243	0,636	-0,970
-0,290	0,698	-0,957
-0,337	-0,411	-0,942
-0,383	-0,315	-0,924
-0,428	-0,693	-0,904
-0,471	0,959	-0,882
-0,514	0,915	-0,858
-0,556	-0,611	-0,831
-0,596	0,271	-0,803
-0,634	0,489	-0,773
-0,672	0,386	-0,741
-0,707	0,850	-0,707
-0,741	0,076	-0,672
-0,773	0,124	-0,634
-0,803	-0,547	-0,596
-0,831	0,227	-0,556
-0,858	-0,939	-0,514
-0,882	0,228	-0,471
-0,904	0,711	-0,428
-0,924	0,087	-0,383
-0,942	0,663	-0,337
-0,957	0,885	-0,290
-0,970	-0,754	-0,243
-0,981	0,770	-0,195
-0,989	-0,531	-0,147
-0,995	0,397	-0,098
-0,999	0,789	-0,049
-1,000	0,741	0,000
-0,999	-0,553	0,049
-0,995	-0,073	0,098
-0,989	-0,803	0,147
-0,981	-0,126	0,195
-0,970	0,466	0,243
-0,957	-0,786	0,290
-0,942	-0,518	0,337
-0,924	0,141	0,383
-0,904	0,235	0,428
-0,882	0,416	0,471
-0,858	0,011	0,514
-0,831	0,641	0,556
-0,803	-0,675	0,596
-0,773	-0,444	0,634
-0,741	0,172	0,672
-0,707	0,427	0,707
-0,672	-0,386	0,741
-0,634	0,104	0,773
-0,596	0,363	0,803
-0,556	-0,852	0,831
-0,514	0,654	0,858
-0,471	0,233	0,882
-0,428	0,250	0,904
-0,383	-0,320	0,924
-0,337	0,428	0,942
-0,290	-0,958	0,957
-0,243	-0,331	0,970
-0,195	-0,356	0,981
-0,147	0,629	0,989
-0,098	-0,354	0,995
-0,049	-0,513	0,999
