0,000	0,333	1,000
0,049	0,567	0,999
0,098	0,531	0,995
0,147	-0,501	0,989
0,195	-0,491	0,981
0,243	0,441	0,970
0,290	-0,128	0,957
0,337	-0,552	0,942
0,383	0,721	0,924
0,428	-0,440	0,904
0,471	0,552	0,882
0,514	0,448	0,858
0,556	0,223	0,831
0,596	0,332	0,803
0,634	0,465	0,773
0,672	-0,663	0,741
0,707	0,787	0,707
0,741	0,535	0,672
0,773	-0,920	0,634
0,803	0,152	0,596
0,831	-0,107	0,556
0,858	-0,734	0,514
0,882	0,313	0,471
0,904	-0,434	0,428
0,924	-0,406	0,383
0,942	-0,054	0,337
0,957	0,258	0,290
0,970	-0,680	0,243
0,981	0,597	0,195
0,989	0,689	0,147
0,995	0,011	0,098
0,999	-0,738	0,049
1,000	-0,209	0,000
0,999	-0,152	-0,049
0,995	0,597	-0,098
0,989	-0,113	-0,147
0,981	-0,558	-0,195
0,970	-0,946	-0,243
0,957	-0,523	-0,290
0,942	0,966	-0,337
0,924	-0,803	-0,383
0,904	0,494	-0,428
0,882	-0,137	-0,471
0,858	-0,788	-0,514
0,831	-0,824	-0,556
0,803	0,977	-0,596
0,773	0,247	-0,634
0,741	-0,775	-0,672
0,707	0,411	-0,707
0,672	-0,809	-0,741
0,634	-0,325	-0,773
0,596	0,474	-0,803
0,556	-0,837	-0,831
0,514	0,001	-0,858
0,471	0,713	-0,882
0,428	-0,616	-0,904
0,383	-0,282	-0,924
0,337	-0,846	-0,942
0,290	0,937	-0,957
0,243	-0,825	-0,970
0,195	-0,319	-0,981
0,147	0,087	-0,989
0,098	0,146	-0,995
0,049	0,741	-0,999
0,000	-0,908	-1,000
-0,049	0,769	-0,999
-0,098	0,652	-0,995
-0,147	-0,153	-0,989
-0,195	-0,119	-0,981
-0,243	-0,284	-0,970
-0,290	-0,260	-0,957
-0,337	-0,390	-0,942
-0,383	0,562	-0,924
-0,428	-0,263	-0,904
-0,471	-0,046	-0,882
-0,514	-0,116	-0,858
-0,556	0,969	-0,831
-0,596	0,090	-0,803
-0,634	0,792	-0,773
-0,672	0,305	-0,741
-0,707	0,778	-0,707
-0,741	0,482	-0,672
-0,773	-0,679	-0,634
-0,803	-0,456	-0,596
-0,831	-0,500	-0,556
-0,858	0,730	-0,514
-0,882	-0,642	-0,471
-0,904	0,802	-0,428
-0,924	0,216	-0,383
-0,942	-0,030	-0,337
-0,957	-0,310	-0,290
-0,970	-0,648	-0,243
-0,981	-0,522	-0,195
-0,989	0,376	-0,147
-0,995	0,570	-0,098
-0,999	0,335	-0,049
-1,000	0,323	0,000
-0,999	-0,311	0,049
-0,995	-0,666	0,098
-0,989	-0,356	0,147
-0,981	0,844	0,195
-0,970	-0,507	0,243
-0,957	0,215	0,290
-0,942	-0,735	0,337
-0,924	-0,017	0,383
-0,904	0,113	0,428
-0,882	-0,802	0,471
-0,858	-0,122	0,514
-0,831	0,099	0,556
-0,803	-0,034	0,596
-0,773	0,830	0,634
-0,741	0,286	0,672
-0,707	0,857	0,707
-0,672	-0,291	0,741
-0,634	0,056	0,773
-0,596	0,271	0,803
-0,556	-0,526	0,831
-0,514	0,033	0,858
-0,471	0,177	0,882
-0,428	-0,834	0,904
-0,383	0,058	0,924
-0,337	-0,606	0,942
-0,290	0,143	0,957
-0,243	0,312	0,970
-0,195	0,789	0,981
-0,147	-0,550	0,989
-0,098	-0,847	0,995
-0,049	0,539	0,999
